Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[ 0.18132328  3.57114978  3.96352994 -2.37486914  0.44658826 -4.65275894
  2.58338368  2.09447161  2.31335855]","[ 0.37666905  2.49741039  2.18567345 -1.07891647  2.88339069 -5.55740902
  2.1875152   1.78224955  1.90910501]","[ 0.40092428  2.47057577  3.38263513 -1.84936294  1.87882933 -5.04934546
  2.16378462  1.7570196   1.9391209 ]","[ 0.97662835  1.44999318  3.01303834 -1.68676914  3.92514192 -6.00845004
  1.64849144  1.19737803  1.36486912]","[ 1.10263807  1.57922791  2.94951414 -2.01513291  4.79234099 -7.70412312
  1.80603319  1.35763535  1.50909537]","[ 4.91862238e+02  7.30985437e-03  2.31449298e+00 -1.63938212e+00
  1.04513053e+01 -1.08895343e+01 -4.89057536e+02 -4.89492990e+02
 -4.89301299e+02]","[  5.46453627   0.53546033   2.65702613  -1.91664541   8.88153773
 -10.21857548  -2.57370025  -3.00808287  -2.79847129]","[ 0.28716025  2.52755973  2.19898884 -0.50949507  3.9964433  -4.87072342
  1.93488986  1.50711739  1.71316299]","[ 0.56123837  2.17729937  3.23492017 -2.03854294  3.14587385 -6.25955887
  2.23996104  1.79089341  1.98029434]","[ 1.24042524e+03  3.84598507e-03  1.66936360e+00 -1.85965052e+00
  2.19077924e+01 -1.72634330e+01 -1.23703573e+03 -1.23749560e+03
 -1.23728912e+03]",2663.287735,0.5231,3,0.071,3,0.166,3,0.0013,9,0.51203,0.49362,0.5231,0.49832,0.46422,0.48507,0.52159,0.51444,0.48765,-0.31924
Batch_02,"[ 3.87449209  0.84577301  8.01656987 -4.97258863 -6.94538117 -0.83421075
 -2.50150815 -1.77785203 -1.80045499]","[ 5.52027922  0.70728959  8.24049805 -5.90932377 -1.65175705 -5.51036813
 -3.21723263 -2.69681587 -2.81873759]","[ 2.90729586  1.11014032  8.99953713 -6.25915326 -7.46490066 -1.55588148
 -1.0475679  -0.37857418 -0.41595955]","[ 6.54419647  0.77939992 10.72512053 -9.3023794  -2.66369765 -7.71414405
 -3.34144552 -2.73926188 -2.79953698]","[ 5.76846264  0.79104066 10.50699256 -8.42546239 -4.46748386 -5.43858286
 -3.05305336 -2.42652242 -2.52855528]","[  2.81195307   1.42123225  11.61582614 -10.43057142  -9.48050582
  -4.69478918   0.63776441   1.34952423   1.24347967]","[  0.16653945   3.25427939   6.78603754  -2.46856131 -11.19344214
   5.18670244   0.33918915   0.99215519   0.8089678 ]","[  9.85719019   0.62059409  11.18086481 -10.17434861  -2.17290157
  -9.45213887  -6.34538711  -5.75621753  -5.80900499]","[ 4.32445688  0.92482789  9.39152696 -7.3301565  -4.17323574 -5.00256882
 -1.76783706 -1.16673355 -1.20310052]","[ 6.30304249  0.80019107 10.92310237 -9.21307891 -4.532257   -6.49697539
 -3.32544724 -2.71231098 -2.76184424]",53.19201039,0.7936,6,0.0134,8,0.3547,7,0.0145,1,0.78582,0.78885,0.79024,0.79011,0.78407,0.79355,0.79264,0.78877,0.786,0.78857
Batch_03,"[ 2.18862485e+03  5.09347400e-03  1.37169268e+01 -1.75688080e+01
  1.65883013e+01 -2.82632675e+01 -2.18066389e+03 -2.18067657e+03
 -2.18045465e+03]","[ 5.68948497e+03  1.95123163e-03  1.29423488e+01 -1.62389951e+01
  1.48980672e+01 -2.67920338e+01 -5.68219350e+03 -5.68216326e+03
 -5.68187864e+03]","[ 2.51313506e+03  3.31693390e-03  9.36911048e+00 -1.08704563e+01
  1.26773022e+01 -2.04779378e+01 -2.50769124e+03 -2.50766101e+03
 -2.50741860e+03]","[ 2.07928534e+03  4.22966422e-03  1.36929672e+01 -1.53048529e+01
  4.67486959e+00 -1.78844863e+01 -2.07306676e+03 -2.07305377e+03
 -2.07281482e+03]","[ 28.57075509   0.24102708  10.51926747 -11.65509161   9.49756912
 -18.05441445 -22.95447033 -22.97393996 -22.71919556]","[ 2.90939643e+03  2.41959270e-03  5.53264988e+00 -6.53698746e+00
  1.36604152e+01 -1.89370961e+01 -2.90495940e+03 -2.90496420e+03
 -2.90472018e+03]","[ 4.24503102e+03  2.65129948e-03  1.37501849e+01 -1.75504041e+01
  1.64193463e+01 -2.79838245e+01 -4.23718155e+03 -4.23715117e+03
 -4.23688076e+03]","[ 3.76118189e+03  2.15572727e-03  6.78892958e+00 -8.07827434e+00
  1.71699154e+01 -2.20436119e+01 -3.75627601e+03 -3.75628876e+03
 -3.75607924e+03]","[ 45.68726812   0.13296167  10.55647945 -10.61591252   4.87404288
 -12.92003373 -41.05788264 -40.91930547 -40.75861546]","[ 1.68670472e+03  5.35072778e-03  9.81741287e+00 -1.17525969e+01
  1.19717287e+01 -2.17054304e+01 -1.68091416e+03 -1.68091433e+03
 -1.68063635e+03]",19082.71412,0.5389,9,0.0569,1,0.3777,9,0.0278,7,0.52897,0.51449,0.52703,0.52832,0.52152,0.51255,0.51838,0.52977,0.53892,0.51817
Batch_04,"[-4.52906655e+02  6.16881034e-03  1.87403009e+00  3.73575399e+00
 -5.65425988e-01  6.18032208e+00  4.53089388e+02  4.52488629e+02
  4.52736200e+02]","[ 63.55312323 -78.72197385   4.56716622  -0.32050456 -14.65627445
   6.76786309   1.2881641    0.27582415   0.67265247]","[-2.55271482e+03  2.51533316e-03 -8.60128460e-01  9.01607090e+00
 -1.36729772e+01  1.83160124e+01  2.55067284e+03  2.54992337e+03
  2.55014864e+03]","[-1.79744510e+03  2.50818418e-03  2.97518890e+00  3.24549862e+00
 -9.93374384e+00  1.21395793e+01  1.79752300e+03  1.79684436e+03
  1.79706060e+03]","[-9.67921936e+02  2.39080481e-03  2.45627973e+00  2.56470872e+00
 -5.88346530e+00  7.07838580e+00  9.68646632e+02  9.67784565e+02
  9.68043007e+02]","[-6.74500871e+02  3.86531202e-03  1.21344603e+00  3.71477420e+00
 -9.99284701e-01  5.32963883e+00  6.75206857e+02  6.74367441e+02
  6.74546785e+02]","[-5.79361681e+02  2.24242300e-03  2.80314036e+00  1.31265240e+00
 -1.12918103e+00  2.28210652e+00  5.80841880e+02  5.80101100e+02
  5.80311510e+02]","[-2.76368872e+01  3.60917845e-02  3.83413073e+00 -5.39655847e-02
  7.89725352e-03  1.49081934e+00  2.95319326e+01  2.88001815e+01
  2.89975915e+01]","[  0.45344904   2.9014301    8.59283591  -8.0584585    5.90874699
 -10.3705118    4.79211309   4.21611022   4.28412583]","[ 1.08842144  1.29509791  4.46469655 -2.46815046  8.44617625 -7.66931768
  2.22593698  1.49383022  1.6549923 ]",6833.668251,0.7795,2,0.0121,2,0.4557,2,0.0168,2,0.76951,0.77952,0.76647,0.7664,0.76327,0.76562,0.76851,0.76822,0.76642,0.76756
Batch_05,"[ 4.47108292e+03  1.79997382e-03  8.07217132e+00 -1.13440095e+01
  4.86513176e+01 -3.07292177e+01 -4.46415303e+03 -4.46464437e+03
 -4.46434967e+03]","[ 1.52459728e+03  4.63602708e-03  5.85878874e+00 -8.06116037e+00
  4.65217917e+01 -2.84484287e+01 -1.51878577e+03 -1.51931510e+03
 -1.51898934e+03]","[ 3.38817209e+03  1.93902247e-03  5.36979787e+00 -6.95522253e+00
  4.40464957e+01 -2.60278789e+01 -3.38295200e+03 -3.38345735e+03
 -3.38311927e+03]","[ 1.28100065e+03  5.09099385e-03  5.17443054e+00 -6.32968931e+00
  3.55810898e+01 -2.31620312e+01 -1.27626674e+03 -1.27670368e+03
 -1.27648987e+03]","[ 2.69541398e+03  2.60338718e-03  6.70467066e+00 -8.82171622e+00
  3.70207249e+01 -2.52192158e+01 -2.68966585e+03 -2.69011550e+03
 -2.68986955e+03]","[ 3.67905589e+03  2.07718386e-03  6.05151574e+00 -8.50943140e+00
  4.18833923e+01 -2.76843980e+01 -3.67324601e+03 -3.67364701e+03
 -3.67341374e+03]","[ 1.89676112e+03  2.74564018e-03  6.26658661e+00 -6.99037251e+00
  2.93212953e+01 -1.85578538e+01 -1.89212053e+03 -1.89256076e+03
 -1.89227586e+03]","[ 2.97411020e+03  2.04742443e-03  6.42495105e+00 -7.75236942e+00
  3.07763439e+01 -2.09700104e+01 -2.96904937e+03 -2.96950442e+03
 -2.96921750e+03]","[ 2.94689152e+03  2.25999061e-03  6.17210329e+00 -8.07374247e+00
  4.02701977e+01 -2.51809189e+01 -2.94137683e+03 -2.94184083e+03
 -2.94154572e+03]","[ 3.34567461e+03  2.19500395e-03  6.18641548e+00 -8.16121752e+00
  4.03270693e+01 -2.65763155e+01 -3.34010784e+03 -3.34060469e+03
 -3.34032368e+03]",18797.19109,0.6298,9,0.018,6,0.2598,5,0.003,1,0.61673,0.62514,0.6264,0.62349,0.62547,0.62802,0.62122,0.62504,0.6298,0.61968
Batch_06,"[ 7.02951350e+02  3.04776494e-03  5.24575028e+00 -2.93732123e+00
  7.95192918e+00 -7.79644105e+00 -7.00488917e+02 -7.00677511e+02
 -7.00470147e+02]","[ 2.44367746e+02  9.95582974e-03  3.56693064e+00 -1.71247205e+00
  3.29202448e+01 -1.47591203e+01 -2.41680411e+02 -2.41808416e+02
 -2.41597383e+02]","[ 3.66860708e+02  4.81853995e-03  5.63572044e+00 -3.41544056e+00
  1.06563014e+01 -7.09691960e+00 -3.64221077e+02 -3.64447947e+02
 -3.64209612e+02]","[ 2.71049125e+03  2.15082320e-03  5.92927594e+00 -6.57126624e+00
  1.90998435e+01 -1.99067283e+01 -2.70587621e+03 -2.70607853e+03
 -2.70585039e+03]","[ 5.46978286e+02  4.82406268e-03  6.84701096e+00 -5.72051682e+00
  1.29358478e+01 -9.90487997e+00 -5.43391959e+02 -5.43552576e+02
 -5.43342008e+02]","[ 8.57486615e+02  3.80763006e-03  4.78192416e+00 -3.43973031e+00
  1.43075664e+01 -1.21208396e+01 -8.54417915e+02 -8.54616739e+02
 -8.54409706e+02]","[ 1.05461480e+03  3.93234334e-03  5.74835087e+00 -5.39806638e+00
  3.37072920e+01 -1.83872835e+01 -1.05056749e+03 -1.05072218e+03
 -1.05050591e+03]","[ 1.27437365e+03  2.93247126e-03  6.73377221e+00 -6.32744209e+00
  1.56288188e+01 -1.37516635e+01 -1.27025159e+03 -1.27045761e+03
 -1.27024308e+03]","[ 9.25003846e+02  5.05450473e-03  5.51351746e+00 -5.71013444e+00
  2.53195584e+01 -1.90053458e+01 -9.20648088e+02 -9.20805573e+02
 -9.20602601e+02]","[ 13.00424803   0.42933772   9.33827916 -11.29306209  23.95423507
 -22.18331341  -6.66476701  -6.87654884  -6.61292198]",7103.039363,0.6537,9,0.0218,9,0.2983,7,0.0035,5,0.63187,0.63843,0.63672,0.64947,0.6489,0.64696,0.65159,0.64752,0.65368,0.64794
Batch_07,"[  2.89389338  -1.95792888   9.15778345  -3.45740519 -43.50016557
  22.55218644  -2.37964471  -2.28377445  -2.56699062]","[ 19.90971201  -0.15540647   7.703116    -1.84132916 -35.06194389
  19.59512584 -19.9502708  -19.90885979 -20.1478268 ]","[ -0.56876904   1.60655558   6.07274869  -0.78537458 -13.19146049
   9.37666846   0.7319436    0.752139     0.64756191]","[ 1.31544924e+02 -4.02687465e-03  8.78846305e+00 -5.24582862e+00
 -2.54359926e+01  1.04063477e+01 -1.29811992e+02 -1.29673986e+02
 -1.29909868e+02]","[ 1.28050131e+02 -2.07105547e-02  8.73439630e+00 -3.67972357e+00
 -3.19577224e+01  1.73538198e+01 -1.27295112e+02 -1.27252959e+02
 -1.27454753e+02]","[ 2.87920944e+02 -6.93617965e-03  8.42005255e+00 -3.55276635e+00
 -2.76221418e+01  1.46188644e+01 -2.87038590e+02 -2.86985648e+02
 -2.87205387e+02]","[ 5.34929810e+02 -3.57385308e-03  6.77317639e+00 -1.51678305e+00
 -2.71628809e+01  1.45861513e+01 -5.34696160e+02 -5.34587218e+02
 -5.34866095e+02]","[ 8.24015965e+02 -2.37667590e-03  7.97587768e+00 -2.82333175e+00
 -2.97232452e+01  1.54409289e+01 -8.23464978e+02 -8.23427104e+02
 -8.23676284e+02]","[  3.56515033  -0.96457551   7.98432996  -2.66062867 -33.18465382
  17.67838508  -3.07610346  -2.99350961  -3.22744861]","[ 15.30758072  -0.19272245   8.57104061  -3.12828355 -36.38556206
  19.25600543 -14.884765   -14.85747953 -15.06065979]",2082.389595,0.5688,7,0.0453,7,0.39,5,0.016,1,0.56017,0.56743,0.56527,0.56874,0.56682,0.56739,0.56883,0.56752,0.5679,0.56752
Batch_08,"[ 2.06868838e+03  3.79585255e-03  4.29003673e+00 -5.13149504e+00
  6.53634624e+01 -3.32661572e+01 -2.06408978e+03 -2.06397655e+03
 -2.06407982e+03]","[ 3.35280951e+03  3.47313201e-03  8.81986532e+00 -1.25352920e+01
  7.02464765e+01 -4.26256998e+01 -3.34543494e+03 -3.34544952e+03
 -3.34549836e+03]","[ 1.35872891e+03  5.61692352e-03  7.19955847e+00 -8.33201205e+00
  4.51337220e+01 -2.74732554e+01 -1.35349880e+03 -1.35338037e+03
 -1.35359593e+03]","[ 2.08517839e+03  4.32711196e-03  7.30890045e+00 -9.70983669e+00
  6.50462600e+01 -3.55416500e+01 -2.07894559e+03 -2.07885589e+03
 -2.07902703e+03]","[ 1.43316340e+03  6.09126946e-03  3.34389969e+00 -4.14442152e+00
  5.82320016e+01 -3.26899950e+01 -1.42891301e+03 -1.42889693e+03
 -1.42902581e+03]","[ 2.13726134e+03  4.12229923e-03  7.48280244e+00 -9.87390826e+00
  6.12254833e+01 -3.45420790e+01 -2.13102428e+03 -2.13091736e+03
 -2.13106942e+03]","[ 2.08901022e+03  3.50447744e-03  5.11605562e+00 -6.08817176e+00
  5.60557604e+01 -2.99767066e+01 -2.08421029e+03 -2.08406160e+03
 -2.08425522e+03]","[ 2.01221103e+03  3.25689930e-03  5.30284015e+00 -6.41414493e+00
  5.56860684e+01 -2.90371116e+01 -2.00722178e+03 -2.00710155e+03
 -2.00721578e+03]","[ 1.38441865e+03  5.35089569e-03  7.83851355e+00 -9.37720806e+00
  4.67708746e+01 -2.80128063e+01 -1.37874102e+03 -1.37862017e+03
 -1.37878981e+03]","[ 2.52280416e+03  4.02611995e-03  8.56874861e+00 -1.19647253e+01
  6.51050739e+01 -3.89396888e+01 -2.51560903e+03 -2.51554680e+03
 -2.51567764e+03]",13395.97025,0.5183,5,0.0486,8,0.38,5,0.0154,3,0.50464,0.50613,0.48168,0.50375,0.51834,0.5067,0.50032,0.51319,0.49337,0.50379
Batch_09,"[  0.26269303   6.0091833   15.5603722  -20.57806232 -12.78941247
 -21.02373698   9.73471962  10.73503657  10.1005863 ]","[  0.20239127   6.24797156  13.49905273 -17.83639142  -2.98238969
 -21.14745177   8.95615642   9.98366152   9.29147894]","[  0.40910793   5.31458464  14.15340844 -19.3183968   -3.64542647
 -25.37892456   9.52269655  10.46291569   9.80164673]","[  0.14208079   7.64068602  14.43903205 -19.49860903 -35.58909889
 -19.04751946   9.71171903  10.73804413   9.9895064 ]","[ 3.80952571e-02  9.72351863e+00  1.49482136e+01 -1.67893010e+01
 -4.05042492e+01 -5.27712652e+00  7.17532290e+00  8.13952295e+00
  7.51954368e+00]","[  0.36992898   5.39101809  13.83818824 -18.58191663   1.50048385
 -24.85583182   9.15944968  10.10220168   9.46759753]","[  0.31814501   5.36439343  11.90034482 -15.28230388  -3.83601457
 -20.25434643   7.72883747   8.69754727   8.05487886]","[  0.49432524   4.68225307  14.57191548 -19.36352615 -18.77054071
 -19.50510359   9.04477184   9.96567438   9.17075151]","[  0.24204484   6.41076222  16.57531517 -22.80558805 -25.48913674
 -20.75429025  10.84043389  11.81626189  11.19768154]","[  0.39713056   5.48272031  18.0305836  -24.75821348 -15.11809176
 -25.18169649  11.40139615  12.40706569  11.70647852]",134.5897161,0.4442,4,0.1018,4,0.4564,10,0.022,9,0.43469,0.44282,0.44002,0.4442,0.40354,0.4402,0.43922,0.44071,0.43874,0.43828
Batch_10,"[ 2.17307038e-01  7.18882853e+00 -2.30401114e+01  2.14345521e+01
  2.77404987e+02 -1.21446023e+02  7.21548202e+00  7.32882811e+00
  7.25206450e+00]","[ 6.50679310e-03  1.40946367e+01 -4.05416565e+00  1.76795820e+00
  6.86869666e+01 -6.84709594e+01  9.91592589e+00  1.00175548e+01
  1.01139162e+01]","[-2.22544659e+03 -3.71156624e-03 -3.15350183e+01  3.71618613e+01
  4.88434882e+02 -1.37512125e+02  2.22508665e+03  2.22517800e+03
  2.22529552e+03]","[   0.70740494    4.83575708  -22.58217748   21.32051691  272.61776911
 -120.62817893    6.23768593    6.15381795    6.08286503]","[-7.71060645e+03 -1.70234864e-03 -2.27029696e+01  1.90404835e+01
  6.31934199e+02 -1.79858475e+02  7.71945710e+03  7.71984354e+03
  7.71982770e+03]","[ 1.07137762e+04 -1.23012983e+02 -3.59409018e+01  5.20784575e+01
  3.06947290e+02 -7.82687513e+01 -1.00290295e+01 -9.59141719e+00
 -9.70457222e+00]","[-5.88381326e+03 -2.66527302e-03 -3.53174099e+01  3.68416827e+01
  5.90368709e+02 -1.80582660e+02  5.88621301e+03  5.88652743e+03
  5.88644153e+03]","[-4.75885071e+03 -2.73145836e-03 -3.15992030e+01  3.29900463e+01
  5.78903772e+02 -1.69398913e+02  4.76209242e+03  4.76221545e+03
  4.76224427e+03]","[ -12.20082922  -40.84544814  -69.39544366  103.03176084  550.0335887
 -113.63247623  -28.18586447  -27.83635369  -27.96475959]","[-4.27656660e+03 -2.22513077e-03 -3.21282192e+01  3.70751448e+01
  5.08048272e+02 -1.44999355e+02  4.27668707e+03  4.27687709e+03
  4.27687314e+03]",26030.95901,0.5368,7,0.0266,4,0.9193,7,0.0501,1,0.52332,0.51431,0.52869,0.5318,0.51203,0.5253,0.53681,0.53107,0.49366,0.535